"id","day","interaction","timea","timeb","dur","choice1","choice2","location","partner_gender","partner_status","first","mtone","length","level","igaff","igdom","agval","agarous","stress","health","sbi_extra","sbi_agree","sbi_domin","sbi_quarl","sbi_submi","sbi_agency","sbi_commun","sbi_total","sbi_agree_ips","sbi_domin_ips","sbi_quarl_ips","sbi_submi_ips","sbi_agency_ips","sbi_commun_ips"
104,1,4,1115,1130,15,7,7,4,1,2,0,0,96,4,9,9,9,9,4,4,0,0.666666667,0,0,0.333333333,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
104,1,5,1115,1155,15,7,7,4,NA,NA,0,0,96,3,9,7,9,7,3,1,0,0.666666667,0.333333333,0,0.666666667,-1,2,0.416666667,0.25,-0.083333333,-0.416666667,0.25,-0.333333333,0.666666667
104,1,6,1140,1230,30,7,7,4,1,1,0,1,122,4,9,9,9,7,3,2,0,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,1,7,1200,1325,6,7,7,4,1,2,0,0,18,3,9,9,9,9,4,3,0,1,0.666666667,0,0.333333333,1,3,0.5,0.5,0.166666667,-0.5,-0.166666667,0.333333333,1
104,2,8,700,730,30,1,7,1,NA,6,0,0,408,5,9,9,9,9,0,0,0,0.666666667,0.666666667,0.333333333,0.333333333,1,1,0.5,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
104,2,9,810,830,20,7,7,3,0,8,0,0,312,5,6,6,4,6,3,0,0,0.666666667,0.333333333,0,1,-2,2,0.5,0.166666667,-0.166666667,-0.5,0.5,-0.666666667,0.666666667
104,2,10,900,915,15,7,7,5,1,5,1,NA,0,1,7,7,6,6,3,0,0,0.333333333,0.333333333,0,0.333333333,0,1,0.25,0.083333333,0.083333333,-0.25,0.083333333,0,0.333333333
104,2,11,945,955,10,7,7,5,1,5,0,1,36,4,9,9,9,9,0,0,1,0.666666667,0.666666667,0,0.333333333,1,2,0.416666667,0.25,0.25,-0.416666667,-0.083333333,0.333333333,0.666666667
104,2,12,1000,1030,30,7,7,5,NA,4,0,0,36,4,9,9,9,9,0,0,0,0.666666667,0.666666667,0,1,-1,2,0.583333333,0.083333333,0.083333333,-0.583333333,0.416666667,-0.333333333,0.666666667
104,2,13,1045,1100,15,7,7,5,1,4,0,0,36,3,9,9,9,9,0,0,0,0.333333333,0.333333333,0,0.333333333,0,1,0.25,0.083333333,0.083333333,-0.25,0.083333333,0,0.333333333
104,2,14,1300,1320,20,7,7,1,0,6,0,0,408,5,9,9,9,9,2,0,1,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,2,15,1430,1455,25,7,7,1,0,8,0,NA,648,5,7,7,8,8,3,0,1,0.666666667,0.333333333,0,0.666666667,-1,2,0.416666667,0.25,-0.083333333,-0.416666667,0.25,-0.333333333,0.666666667
104,3,16,730,830,60,6,7,1,0,6,0,0,408,5,9,9,9,9,0,0,0,0.666666667,0,0,0.666666667,-2,2,0.333333333,0.333333333,-0.333333333,-0.333333333,0.333333333,-0.666666667,0.666666667
104,3,17,900,915,15,5,6,5,1,5,0,1,240,4,7,7,9,8,0,0,1,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,3,18,1000,1015,15,5,7,5,0,5,0,0,120,3,7,6,7,6,0,0,1,0.333333333,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
104,3,19,1045,1130,45,6,7,5,1,4,0,1,360,4,5,9,9,5,4,0,0,0.666666667,0.333333333,0,0.666666667,-1,2,0.416666667,0.25,-0.083333333,-0.416666667,0.25,-0.333333333,0.666666667
104,3,20,1415,1445,30,1,7,5,0,8,0,0,648,4,5,7,9,7,0,0,0,0.666666667,1,0,0.333333333,2,2,0.5,0.166666667,0.5,-0.5,-0.166666667,0.666666667,0.666666667
104,3,21,1530,1615,45,6,7,2,1,NA,0,1,132,3,9,9,9,9,0,0,0,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,3,22,1630,1645,15,6,7,4,1,NA,0,0,96,4,6,6,6,7,3,0,0,0.666666667,0.666666667,0,0.666666667,0,2,0.5,0.166666667,0.166666667,-0.5,0.166666667,0,0.666666667
104,3,23,1800,1815,15,7,7,1,0,NA,0,0,312,4,7,7,8,8,1,0,0,0.333333333,0.666666667,0,0.333333333,1,1,0.333333333,0,0.333333333,-0.333333333,0,0.333333333,0.333333333
104,4,24,600,615,45,7,7,1,0,6,0,0,408,5,9,9,9,9,0,0,0,0.666666667,0.666666667,0,0.333333333,1,2,0.416666667,0.25,0.25,-0.416666667,-0.083333333,0.333333333,0.666666667
104,4,25,715,730,15,7,7,4,1,3,0,0,120,4,9,7,8,7,3,0,0,0.333333333,0.666666667,0,0.333333333,1,1,0.333333333,0,0.333333333,-0.333333333,0,0.333333333,0.333333333
104,4,26,900,1000,60,7,7,4,1,2,0,0,120,3,9,8,9,9,2,0,0,0.666666667,0.333333333,0.333333333,0.333333333,0,1,0.416666667,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
104,4,27,1025,1040,20,7,7,4,1,2,0,0,120,5,6,7,5,5,4,0,1,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,0,0
104,4,28,1100,1145,45,7,7,5,1,2,NA,0,120,4,9,9,9,9,0,0,0,1,0.666666667,0,0.333333333,1,3,0.5,0.5,0.166666667,-0.5,-0.166666667,0.333333333,1
104,4,29,1200,1215,15,7,7,4,1,2,0,0,120,4,9,9,9,9,0,0,0,1,0.666666667,0,0,2,3,0.416666667,0.583333333,0.25,-0.416666667,-0.416666667,0.666666667,1
104,4,30,1330,1400,30,7,7,4,1,2,0,1,108,3,7,7,6,8,1,0,0,0.666666667,0.666666667,0,0.333333333,1,2,0.416666667,0.25,0.25,-0.416666667,-0.083333333,0.333333333,0.666666667
104,4,31,1415,1445,30,7,7,4,1,2,0,0,12,3,9,9,9,9,1,0,0,0.333333333,1,0,0,3,1,0.333333333,0,0.666666667,-0.333333333,-0.333333333,1,0.333333333
104,5,32,540,620,40,7,7,1,0,6,0,0,408,5,9,9,9,9,0,0,0,0.666666667,1,0,0.333333333,2,2,0.5,0.166666667,0.5,-0.5,-0.166666667,0.666666667,0.666666667
104,5,33,730,745,15,7,7,4,1,4,0,0,120,4,8,8,8,7,1,0,0,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,5,34,805,820,15,7,7,4,1,2,0,0,120,3,8,8,8,8,1,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
104,5,35,845,915,30,5,7,4,1,2,0,0,120,4,7,6,5,5,3,0,1,0.666666667,0,0.333333333,0.333333333,-1,1,0.333333333,0.333333333,-0.333333333,0,0,-0.333333333,0.333333333
104,5,36,945,1000,15,7,7,4,1,2,0,0,12,3,9,9,8.5,8.5,0,0,0,0,0.666666667,0,0.333333333,1,0,0.25,-0.25,0.416666667,-0.25,0.083333333,0.333333333,0
104,5,37,1030,1100,30,7,7,4,1,2,0,0,12,4,9,9,9,9,0,0,0,0.666666667,0.666666667,0,1,-1,2,0.583333333,0.083333333,0.083333333,-0.583333333,0.416666667,-0.333333333,0.666666667
104,5,38,1220,1240,20,7,7,4,1,2,0,1,12,2,7,7,8,7,0,0,0,0.333333333,0,0.333333333,1,-3,0,0.416666667,-0.083333333,-0.416666667,-0.083333333,0.583333333,-1,0
104,5,39,1300,1315,15,7,7,5,1,2,0,0,120,3,9,9,9,9,0,0,0,0.333333333,0.333333333,0,0.333333333,0,1,0.25,0.083333333,0.083333333,-0.25,0.083333333,0,0.333333333
104,6,40,530,630,60,7,7,1,0,6,0,0,408,5,9,9,9,9,0,0,0,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,6,41,530,716,16,7,7,4,1,4,0,0,120,4,8,8,9,9,0,0,0,0.666666667,0.333333333,0,0,1,2,0.25,0.416666667,0.083333333,-0.25,-0.25,0.333333333,0.666666667
104,6,42,700,745,15,6,7,4,1,4,0,0,96,3,8.5,9,8.5,9,0,0,0,0.666666667,0,0,0.333333333,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
104,6,43,900,925,25,5,7,4,NA,2,0,NA,12,3,7,7.5,7,7.5,0,0,0,0.666666667,0.666666667,0,0.333333333,1,2,0.416666667,0.25,0.25,-0.416666667,-0.083333333,0.333333333,0.666666667
104,6,44,945,1015,30,4,7,4,1,NA,0,0,12,3,5,6,8,8,1,0,1,0.666666667,0.666666667,0,0.666666667,0,2,0.5,0.166666667,0.166666667,-0.5,0.166666667,0,0.666666667
104,6,45,1100,1230,90,7,7,5,1,4,0,0,36,4,9,9,9,9,0,0,1,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,6,46,1315,1330,15,7,7,5,1,5,0,0,12,2,6,8,7,7,0,0,1,0.666666667,0,0.333333333,0.666666667,-2,1,0.416666667,0.25,-0.416666667,-0.083333333,0.25,-0.666666667,0.333333333
104,6,47,1500,1530,30,2,1,5,1,5,0,0,NA,1,4,8.5,5,6,3,0,1,0,0.333333333,0,0.333333333,0,0,0.166666667,-0.166666667,0.166666667,-0.166666667,0.166666667,0,0
104,7,48,530,630,60,7,7,1,0,6,0,0,408,5,9,9,9,9,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
104,7,49,650,715,25,7,7,4,NA,4,0,0,120,4,9,9,9,9,0,0,0,0.666666667,0.333333333,0,0.333333333,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
104,7,50,800,830,30,7,7,4,1,2,0,0,NA,3,9,9,9,9,0,0,0,0.666666667,0.666666667,0,0.333333333,1,2,0.416666667,0.25,0.25,-0.416666667,-0.083333333,0.333333333,0.666666667
104,7,51,840,930,50,7,5,4,1,2,0,0,120,4,7,6,7,6,3,0,0,0.333333333,0.666666667,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
104,7,52,1015,1040,25,7,7,4,1,2,0,0,120,3,9,9,9,9,1,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
104,7,53,1045,1115,30,7,7,4,1,2,0,0,120,3,9,9,9,9,0,0,0,1,0.666666667,0,0.333333333,1,3,0.5,0.5,0.166666667,-0.5,-0.166666667,0.333333333,1
104,7,54,1130,1200,30,7,7,4,1,2,0,0,120,3,9,9,9,9,0,0,0,0.666666667,0.666666667,0,0,2,2,0.333333333,0.333333333,0.333333333,-0.333333333,-0.333333333,0.666666667,0.666666667
