45201 0 0 3 . . 40 . . . 63 . . . 64 . . . . . . . 2 . . . 4 . . . 6 . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 1 . . . 3 . . . 3 . . . . .
45903 0 0 2 . . . . 65 . . . 66 . . . . . . . . . . . 3 . . . 6 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 1 . . . 4 . . . . . . .
46201 0 0 0 . . . . 51 . . . 66 . . . 79 . . . . . . . 3 . . . 5 . . . 7 . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 0 . . . 0 . . . 0 . . .
47201 0 0 3 . . . 58 . . . 63 . . . . . . . . . . . 2 . . . 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 0 . . . 0 . . . . . . . .
47402 0 0 2 . . . . . 45 . . . . . . 54 . . . . . . . . 4 . . . . . . 6 . . . . . . . . . . . . . . . . . . . . . . . . 0 . . . . . . 1 . . . . . . . . 2 . . . . . . 6 . . .
47601 1 1 1 . 32 . . . 48 . . . . . . . 58 . . . 2 . . . 4 . . . . . . . 8 . . . 0 . . . 0 . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 1 . . . 3 . . . 1 . . . . . . . 2 . .
48502 0 0 0 . . . 29 . . . . . . . 58 . . . . . . . 2 . . . . . . . 6 . . . . . . . . . . . . . . . . . . . . . . . 1 . . . . . . . 1 . . . . . . . 1 . . . . . . . 0 . . . .
49501 0 0 3 . . 35 . . . 50 . . . . . . . . . . . 2 . . . 4 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 3 . . . 2 . . . . . . . . .
53601 1 0 2 . . . . 38 . . . . . . 45 . . . . . . . . 3 . . . . . . 6 . . . . . . . . 0 . . . . . . 1 . . . . . . . . 0 . . . . . . 1 . . . . . . . . 4 . . . . . . 5 . . . .
55201 0 0 3 . . . . . . . . . 65 . . . 69 . . . . . . . . . . . 5 . . . 7 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 2 . . . 3 . .
